snaptimes are [ 0 10 15 20 40]
initial theta is:  [-1.09639492  0.17766198 -0.19591798  0.57649007  0.2       ]
Nx test is: 1000
Nx observed are: [1000, 1000, 1000, 1000, 1000]
Alpha is : 1
iteration 0: [-1.09639492  0.17766198 -0.19591798  0.57649007  0.2       ]
iteration 1: [-1.26900983  0.22226301 -0.19480646  0.72383897  0.2       ]
iteration 2: [-1.34559671  0.26710361 -0.33187771  0.89290023  0.2       ]
iteration 3: [-1.43489323  0.30568197 -0.25746451  1.0132898   0.2       ]
iteration 4: [-1.68620708  0.34915005  0.06858154  1.34865983  0.2       ]
iteration 5: [-2.05390442  0.3857395   0.38513686  1.99365496  0.2       ]
iteration 6: [-2.28132476  0.41040147  0.46377885  2.33466199  0.2       ]
iteration 7: [-2.37273707  0.4571844   0.64570031  2.56197334  0.2       ]
iteration 8: [-2.52948219  0.48244493  1.10282142  2.93135152  0.2       ]
iteration 9: [-2.46744085  0.52673839  1.49045102  3.03925762  0.2       ]
iteration 10: [-2.48584694  0.54508252  1.98745464  3.1924604   0.2       ]
iteration 11: [-2.53416216  0.55281438  2.40153293  3.3473038   0.2       ]
iteration 12: [-2.49093095  0.56239757  2.95566203  3.47716631  0.2       ]
iteration 13: [-2.49976927  0.56350731  3.49082837  3.65697604  0.2       ]
iteration 14: [-2.457921    0.57210301  3.83022255  3.63814787  0.2       ]
iteration 15: [-2.44259821  0.57720104  4.04991542  3.71529105  0.2       ]
iteration 16: [-2.317636    0.58723809  4.4085889   3.64760301  0.2       ]
iteration 17: [-2.21566988  0.59596229  4.77282484  3.65360469  0.2       ]
iteration 18: [-2.11570896  0.60735796  5.24505158  3.55344999  0.2       ]
iteration 19: [-2.02727919  0.61423098  5.62261801  3.50725181  0.2       ]
iteration 20: [-1.97770084  0.61732118  6.08367876  3.48897289  0.2       ]
iteration 21: [-1.86500846  0.62834973  6.35504381  3.39237001  0.2       ]
iteration 22: [-1.80173612  0.63085878  6.89259238  3.38600784  0.2       ]
iteration 23: [-1.75473512  0.63168873  7.31756046  3.37772568  0.2       ]
iteration 24: [-1.67683979  0.63862135  7.44441971  3.33019515  0.2       ]
iteration 25: [-1.63360541  0.63762256  7.7523545   3.25116778  0.2       ]
iteration 26: [-1.62028955  0.63666415  8.19563631  3.30520016  0.2       ]
iteration 27: [-1.57180473  0.6385998   8.22731621  3.28197768  0.2       ]
iteration 28: [-1.54951789  0.63902512  8.36741381  3.28623466  0.2       ]
iteration 29: [-1.53961392  0.63642083  8.79341466  3.32065157  0.2       ]
iteration 30: [-1.51537596  0.63704754  8.99366632  3.29759551  0.2       ]
iteration 31: [-1.50984256  0.63240821  9.43211397  3.34376616  0.2       ]
iteration 32: [-1.51576756  0.62598613  9.79582232  3.39304745  0.2       ]
iteration 33: [ -1.44599808   0.62811835  10.08767821   3.38120532   0.2       ]
iteration 34: [ -1.424063     0.6288745   10.32294039   3.35774596   0.2       ]
iteration 35: [ -1.4209347    0.62554047  10.51000348   3.40431771   0.2       ]
iteration 36: [ -1.43272428   0.62331542  10.72701474   3.43644191   0.2       ]
iteration 37: [ -1.39944107   0.61710673  11.19954796   3.49932491   0.2       ]
iteration 38: [ -1.32781937   0.61791488  11.47570713   3.50341278   0.2       ]
iteration 39: [ -1.2900165    0.62019445  11.78190229   3.48890022   0.2       ]
iteration 40: [ -1.28043025   0.61407662  12.16851727   3.5744247    0.2       ]
iteration 41: [ -1.26852319   0.61149052  12.4113817    3.62644061   0.2       ]
iteration 42: [ -1.2394506    0.60773219  12.78101309   3.65438233   0.2       ]
iteration 43: [ -1.23684427   0.60011693  13.15367357   3.75749706   0.2       ]
iteration 44: [ -1.23076984   0.59545198  13.36541468   3.82872032   0.2       ]
iteration 45: [ -1.22576168   0.59323473  13.78543967   3.8810137    0.2       ]
iteration 46: [ -1.20152476   0.58984085  14.03174013   3.91263749   0.2       ]
iteration 47: [ -1.19186429   0.58575411  14.29573089   3.96910375   0.2       ]
iteration 48: [ -1.16211878   0.5824271   14.6339992    4.02853424   0.2       ]
iteration 49: [ -1.18398994   0.57870425  14.75932462   4.07910621   0.2       ]
iteration 50: [ -1.18494171   0.57507513  14.93169433   4.13663701   0.2       ]
iteration 51: [ -1.17658699   0.5724152   15.03368948   4.17683623   0.2       ]
iteration 52: [ -1.16406441   0.56999545  15.24647575   4.22980993   0.2       ]
iteration 53: [ -1.14043697   0.56524589  15.5471988    4.25822317   0.2       ]
iteration 54: [ -1.12961964   0.56176348  15.8120754    4.35408598   0.2       ]
iteration 55: [ -1.11681802   0.55677819  16.01808646   4.40528479   0.2       ]
iteration 56: [ -1.0650518    0.55540866  16.25888612   4.43206057   0.2       ]
iteration 57: [ -1.05905598   0.55167639  16.48132755   4.48961042   0.2       ]
iteration 58: [ -1.04160452   0.55094596  16.54936503   4.51426651   0.2       ]
iteration 59: [ -1.02943355   0.54646622  16.78509962   4.58800646   0.2       ]
iteration 60: [ -1.02906723   0.54482346  17.04798123   4.64459977   0.2       ]
iteration 61: [ -1.02235558   0.54519973  17.04573722   4.69168259   0.2       ]
iteration 62: [ -1.0076567    0.54286167  17.16404267   4.73559549   0.2       ]
iteration 63: [ -0.99191434   0.54302901  17.20722265   4.74776969   0.2       ]
iteration 64: [ -0.97777171   0.54128651  17.36699266   4.74627402   0.2       ]
iteration 65: [ -0.95140222   0.5397292   17.55380286   4.79681667   0.2       ]
iteration 66: [ -0.95184799   0.53714742  17.83888023   4.8581939    0.2       ]
iteration 67: [ -0.92923477   0.53581164  17.96654992   4.91395881   0.2       ]
iteration 68: [ -0.93420337   0.53297179  18.13305552   4.95236991   0.2       ]
iteration 69: [ -0.90518334   0.5291308   18.32690149   5.03012703   0.2       ]
iteration 70: [ -0.88880028   0.53020573  18.37028192   5.06579475   0.2       ]
iteration 71: [ -0.86407979   0.52925904  18.54275205   5.07621049   0.2       ]
iteration 72: [ -0.85870803   0.52681966  18.70047156   5.09778925   0.2       ]
iteration 73: [ -0.83447336   0.52500042  18.79351492   5.10429816   0.2       ]
iteration 74: [ -0.84333311   0.52334206  18.89032643   5.11947117   0.2       ]
iteration 75: [ -0.83672074   0.52185334  19.00691277   5.13625532   0.2       ]
iteration 76: [ -0.84272714   0.52077161  19.09153654   5.16537002   0.2       ]
iteration 77: [ -0.82635425   0.5201342   19.18043862   5.23562849   0.2       ]
iteration 78: [ -0.83432726   0.5189318   19.23670235   5.22012928   0.2       ]
iteration 79: [ -0.81861835   0.51827653  19.24431954   5.2306857    0.2       ]
iteration 80: [ -0.79442831   0.51964524  19.20061269   5.2668141    0.2       ]
iteration 81: [ -0.80684948   0.51872091  19.34544167   5.27077809   0.2       ]
iteration 82: [ -0.79421721   0.51826453  19.41628375   5.26888361   0.2       ]
iteration 83: [ -0.78852801   0.51919661  19.41112915   5.27303338   0.2       ]
iteration 84: [ -0.80006926   0.51761081  19.46754231   5.30722667   0.2       ]
iteration 85: [ -0.7834231    0.51654286  19.6417209    5.31777448   0.2       ]
iteration 86: [ -0.75946628   0.51655396  19.71746755   5.33256533   0.2       ]
iteration 87: [ -0.72939299   0.51353394  19.81103077   5.34891243   0.2       ]
iteration 88: [ -0.71412569   0.51351192  19.96783826   5.36147482   0.2       ]
iteration 89: [ -0.71679621   0.51438335  20.0954954    5.37984775   0.2       ]
iteration 90: [ -0.7073981    0.51429286  20.1375772    5.40614847   0.2       ]
iteration 91: [ -0.7053961    0.51460345  20.13881802   5.40320967   0.2       ]
iteration 92: [ -0.68214066   0.51244164  20.27727423   5.41405673   0.2       ]
iteration 93: [ -0.67017196   0.51227303  20.39523842   5.42750778   0.2       ]
iteration 94: [ -0.67033376   0.51311946  20.45750653   5.45412466   0.2       ]
iteration 95: [ -0.65928305   0.51364417  20.48460253   5.43513656   0.2       ]
iteration 96: [ -0.64413887   0.51524287  20.40387399   5.44052678   0.2       ]
iteration 97: [ -0.64382781   0.51444123  20.55241902   5.46810729   0.2       ]
iteration 98: [ -0.62743738   0.5141763   20.49587894   5.46235997   0.2       ]
iteration 99: [ -0.61004813   0.51532914  20.52622571   5.43188994   0.2       ]
iteration 100: [ -0.63445474   0.51309227  20.59640696   5.44360393   0.2       ]
iteration 101: [ -0.62788911   0.51303878  20.64450304   5.45604348   0.2       ]
iteration 102: [ -0.60885082   0.5123551   20.75913921   5.47157349   0.2       ]
iteration 103: [ -0.60015077   0.51357855  20.76229303   5.4745746    0.2       ]
iteration 104: [ -0.58216437   0.51452152  20.71242837   5.48453494   0.2       ]
iteration 105: [ -0.59160433   0.51463735  20.80699949   5.50482657   0.2       ]
iteration 106: [ -0.60221346   0.51631472  20.80768938   5.48288568   0.2       ]
iteration 107: [ -0.57606937   0.51501809  20.82887766   5.47033657   0.2       ]
iteration 108: [ -0.55715291   0.51845076  20.75515698   5.45534464   0.2       ]
iteration 109: [ -0.56634409   0.51801403  20.77398751   5.42280715   0.2       ]
iteration 110: [ -0.55486305   0.5173417   20.96217255   5.42657999   0.2       ]
iteration 111: [ -0.53557151   0.51680545  21.03076926   5.42611707   0.2       ]
iteration 112: [ -0.54189607   0.51570837  21.15591519   5.4532756    0.2       ]
iteration 113: [ -0.52595507   0.51269857  21.20884477   5.47639428   0.2       ]
iteration 114: [ -0.49714774   0.51393686  21.31651147   5.48903833   0.2       ]
iteration 115: [ -0.51592542   0.51172313  21.39585335   5.50129474   0.2       ]
iteration 116: [ -0.5244159    0.50943688  21.50672819   5.50173246   0.2       ]
iteration 117: [ -0.52274839   0.50924204  21.60665382   5.49593022   0.2       ]
iteration 118: [ -0.51817635   0.50915382  21.68072648   5.50825208   0.2       ]
iteration 119: [ -0.50462895   0.5084295   21.80454214   5.51559328   0.2       ]
iteration 120: [ -0.51467049   0.50821045  21.70724805   5.55042032   0.2       ]
iteration 121: [ -0.52448228   0.50990149  21.65114093   5.53669524   0.2       ]
iteration 122: [ -0.51536169   0.50895037  21.74266389   5.53402998   0.2       ]
iteration 123: [ -0.5155796    0.50964242  21.82545382   5.54938866   0.2       ]
iteration 124: [ -0.49561354   0.50945324  21.79893351   5.56943707   0.2       ]
