terminal time is 40
initial theta is:  [-1.5  0.   0.   0.1  0.2]
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-1.62794225 -0.05146725  0.48383153  0.3381702   0.2       ]
iteration 3: [-1.2113561   0.03262014 -0.16261246 -0.12806182  0.2       ]
iteration 4: [-1.19666729  0.01224423  0.20671093 -0.25218645  0.2       ]
iteration 5: [-0.50394953  0.05198627 -0.01604002 -1.13037341  0.2       ]
iteration 6: [-0.58260807  0.03110423  0.6731332  -1.07612772  0.2       ]
iteration 7: [-0.45303481  0.02321452  0.70082279 -1.31754989  0.2       ]
iteration 8: [ 0.15647507  0.02502435  1.05257823 -2.17300109  0.2       ]
iteration 9: [ 0.48327057  0.04092495  0.95287803 -2.59764408  0.2       ]
iteration 10: [ 0.92199152  0.03906814  1.2825766  -3.11245177  0.2       ]
iteration 11: [ 2.39365623  0.17566679  0.71408286 -4.97472754  0.2       ]
iteration 12: [ 3.02434425  0.19118823  1.04014777 -5.67752248  0.2       ]
iteration 13: [ 3.83447002  0.25578581  0.90905974 -6.68100929  0.2       ]
iteration 14: [ 4.18548012  0.27371953  1.2100164  -7.08466331  0.2       ]
iteration 15: [ 4.38230698  0.27117691  1.31456985 -7.41257189  0.2       ]
iteration 16: [ 4.4911423   0.26431798  1.51305756 -7.69298128  0.2       ]
iteration 17: [ 4.56543697  0.25509516  1.78025239 -7.82723371  0.2       ]
iteration 18: [ 4.64509709  0.2461525   2.14487588 -7.9646105   0.2       ]
iteration 19: [ 4.72892627  0.23735375  2.30535582 -8.09728255  0.2       ]
iteration 20: [ 4.77144576  0.23265145  2.41002884 -8.19154898  0.2       ]
iteration 21: [ 4.78800943  0.22747062  2.8313061  -8.28542821  0.2       ]
iteration 22: [ 4.81316106  0.22399484  2.98548751 -8.40253344  0.2       ]
iteration 23: [ 4.82970002  0.21148107  3.18897754 -8.55152608  0.2       ]
iteration 24: [ 4.86709423  0.19938144  3.38452826 -8.66832469  0.2       ]
iteration 25: [ 4.87362045  0.19224115  3.54662334 -8.70983587  0.2       ]
iteration 26: [ 4.855014    0.19165358  3.84639511 -8.68205272  0.2       ]
