terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.1
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.35123598 -0.08322877 -0.3460094   1.16464074  0.2       ]
iteration 3: [-3.01005975 -0.18611176 -1.20495584  1.69096642  0.2       ]
iteration 4: [-3.11411252 -0.21713857 -1.35779959  1.90485295  0.2       ]
iteration 5: [-3.93072849 -0.23241667 -2.38596145  2.73307879  0.2       ]
iteration 6: [-5.12873948 -0.36586603 -2.59308132  4.14292908  0.2       ]
iteration 7: [-5.52149082 -0.40275439 -3.12506561  4.99743325  0.2       ]
iteration 8: [-6.21499286 -0.53707227 -3.16559904  5.94500994  0.2       ]
iteration 9: [-6.63518391 -0.59954784 -3.90052697  6.77377967  0.2       ]
iteration 10: [-6.96985522 -0.61869219 -5.08206626  7.41112364  0.2       ]
iteration 11: [-7.15745042 -0.64428849 -5.74964617  7.81803469  0.2       ]
iteration 12: [-7.44465934 -0.6935239  -6.00832981  8.40711397  0.2       ]
iteration 13: [-7.571623   -0.71396431 -6.51770679  8.76121151  0.2       ]
iteration 14: [-7.64971594 -0.72855347 -7.02036903  9.02944015  0.2       ]
iteration 15: [-7.69915303 -0.73411016 -7.51667042  9.2587111   0.2       ]
iteration 16: [-7.73073593 -0.73422697 -8.01995054  9.39045772  0.2       ]
iteration 17: [-7.73050591 -0.7354856  -8.42903637  9.52099071  0.2       ]
iteration 18: [-7.69458352 -0.73155509 -8.85252429  9.57568974  0.2       ]
iteration 19: [-7.69321396 -0.73124935 -9.19529044  9.63324796  0.2       ]
iteration 20: [-7.6495475  -0.7273664  -9.54391493  9.64104088  0.2       ]
iteration 21: [-7.62303712 -0.723582   -9.88717717  9.681688    0.2       ]
iteration 22: [ -7.60060873  -0.72124127 -10.16817729   9.71050482   0.2       ]
iteration 23: [ -7.57126341  -0.7182362  -10.47491561   9.75200672   0.2       ]
iteration 24: [ -7.51927159  -0.714625   -10.72102398   9.74542584   0.2       ]
iteration 25: [ -7.48796474  -0.71040169 -10.95548142   9.73217664   0.2       ]
iteration 26: [ -7.44649447  -0.70628018 -11.17938957   9.72779017   0.2       ]
iteration 27: [ -7.42883448  -0.7035711  -11.3329316    9.72452899   0.2       ]
iteration 28: [ -7.40768306  -0.69865459 -11.55693623   9.73307128   0.2       ]
iteration 29: [ -7.38220883  -0.69481879 -11.7311314    9.73038413   0.2       ]
iteration 30: [ -7.35893095  -0.69041241 -11.90745816   9.7268686    0.2       ]
iteration 31: [ -7.34206786  -0.68670309 -12.07868953   9.72770806   0.2       ]
iteration 32: [ -7.30961873  -0.68364504 -12.2300717    9.70135041   0.2       ]
iteration 33: [ -7.28258232  -0.68055997 -12.39114914   9.68274613   0.2       ]
iteration 34: [ -7.24818937  -0.67624762 -12.57620669   9.65388074   0.2       ]
iteration 35: [ -7.22275767  -0.67287199 -12.74574122   9.63398765   0.2       ]
iteration 36: [ -7.19665777  -0.66840715 -12.9555578    9.61140077   0.2       ]
iteration 37: [ -7.17124057  -0.66577921 -13.1457486    9.594794     0.2       ]
iteration 38: [ -7.13785934  -0.66259081 -13.25875412   9.60264875   0.2       ]
iteration 39: [ -7.10115105  -0.6588805  -13.41282812   9.58736521   0.2       ]
iteration 40: [ -7.07617898  -0.65613704 -13.53664998   9.56089562   0.2       ]
iteration 41: [ -7.054568    -0.65324525 -13.69500052   9.53949938   0.2       ]
iteration 42: [ -7.04038174  -0.651017   -13.85098035   9.54016814   0.2       ]
