terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.01
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.42289418 -0.09077673 -0.37778315  1.25510463  0.2       ]
iteration 3: [-3.15575597 -0.20352623 -1.34076306  1.84858936  0.2       ]
iteration 4: [-3.66995443 -0.30937065 -1.65811303  2.6008406   0.2       ]
iteration 5: [-4.69057126 -0.38710824 -2.33282725  3.77084126  0.2       ]
iteration 6: [-5.75503233 -0.50251944 -2.81426984  5.24858649  0.2       ]
iteration 7: [-5.92839883 -0.51736207 -3.75056156  5.89757413  0.2       ]
iteration 8: [-6.2835568  -0.5875734  -3.88997704  6.48049878  0.2       ]
iteration 9: [-6.53184263 -0.63237789 -4.67019929  7.15506365  0.2       ]
iteration 10: [-6.74858005 -0.6480683  -5.84378215  7.68312982  0.2       ]
iteration 11: [-6.97629252 -0.68148785 -6.39071081  8.22171338  0.2       ]
iteration 12: [-7.10682841 -0.70976736 -6.88455205  8.57926339  0.2       ]
iteration 13: [-7.19009785 -0.72316249 -7.44402865  8.85250871  0.2       ]
iteration 14: [-7.21132724 -0.72951741 -8.00295661  9.02561149  0.2       ]
iteration 15: [-7.23408701 -0.7317628  -8.45978203  9.17609675  0.2       ]
iteration 16: [-7.22839836 -0.73154056 -8.90336492  9.26263145  0.2       ]
iteration 17: [-7.20983612 -0.73054493 -9.29764236  9.32640251  0.2       ]
iteration 18: [-7.18299042 -0.72832305 -9.6427757   9.36123223  0.2       ]
iteration 19: [-7.1748109  -0.72790827 -9.956979    9.40657127  0.2       ]
iteration 20: [ -7.12964187  -0.7230166  -10.30123465   9.41632983   0.2       ]
iteration 21: [ -7.09143691  -0.71861754 -10.60180841   9.4166085    0.2       ]
iteration 22: [ -7.06352338  -0.71671566 -10.79445071   9.4418346    0.2       ]
iteration 23: [ -7.03605698  -0.71338162 -11.08121851   9.46104437   0.2       ]
iteration 24: [ -6.98572329  -0.70984314 -11.33569252   9.44115458   0.2       ]
iteration 25: [ -6.95034852  -0.70558408 -11.51635918   9.41019955   0.2       ]
iteration 26: [ -6.9193893   -0.70198282 -11.75912367   9.41060216   0.2       ]
iteration 27: [ -6.89327654  -0.69826815 -11.96993955   9.38641305   0.2       ]
iteration 28: [ -6.87157808  -0.69413009 -12.13681616   9.38484618   0.2       ]
iteration 29: [ -6.83643668  -0.68970533 -12.33759576   9.3466681    0.2       ]
iteration 30: [ -6.81119262  -0.68541766 -12.52021533   9.32656486   0.2       ]
iteration 31: [ -6.79133809  -0.68052538 -12.74484672   9.30254627   0.2       ]
iteration 32: [ -6.75760066  -0.67669825 -12.89061384   9.26772195   0.2       ]
iteration 33: [ -6.73464439  -0.67343611 -13.07261263   9.24843016   0.2       ]
iteration 34: [ -6.71022643  -0.66950207 -13.24110823   9.22891431   0.2       ]
iteration 35: [ -6.69326505  -0.66627188 -13.44059753   9.21005763   0.2       ]
iteration 36: [ -6.68352325  -0.66336323 -13.59231822   9.20540677   0.2       ]
iteration 37: [ -6.65897694  -0.6611051  -13.73333544   9.19306436   0.2       ]
iteration 38: [ -6.63324393  -0.65898859 -13.87136168   9.19222152   0.2       ]
iteration 39: [ -6.60404282  -0.65626749 -14.00779487   9.17915143   0.2       ]
iteration 40: [ -6.57205563  -0.6537595  -14.14471996   9.15326696   0.2       ]
iteration 41: [ -6.55203548  -0.65135697 -14.29763643   9.1271582    0.2       ]
iteration 42: [ -6.53946742  -0.64924767 -14.48995923   9.12870678   0.2       ]
iteration 43: [ -6.5240999   -0.64782454 -14.60634395   9.13257887   0.2       ]
iteration 44: [ -6.49081447  -0.64457863 -14.68248901   9.09405464   0.2       ]
iteration 45: [ -6.47479485  -0.64293164 -14.82189132   9.08685789   0.2       ]
iteration 46: [ -6.46334712  -0.64152646 -14.95881557   9.09108557   0.2       ]
iteration 47: [ -6.42351925  -0.63921945 -15.05630005   9.0567223    0.2       ]
iteration 48: [ -6.40073963  -0.63742912 -15.19460856   9.03417944   0.2       ]
iteration 49: [ -6.38717241  -0.63533839 -15.28070117   9.0273587    0.2       ]
iteration 50: [ -6.36824856  -0.63435196 -15.35148179   9.02727088   0.2       ]
iteration 51: [ -6.34593433  -0.6322075  -15.47229523   9.02413509   0.2       ]
iteration 52: [ -6.33468859  -0.63030702 -15.56629171   8.98524923   0.2       ]
iteration 53: [ -6.30306141  -0.62782003 -15.73152023   8.97805543   0.2       ]
iteration 54: [ -6.27948374  -0.62606802 -15.80987197   8.95484661   0.2       ]
iteration 55: [ -6.25556972  -0.62401964 -15.91450325   8.94536565   0.2       ]
iteration 56: [ -6.25194386  -0.62314322 -15.99505282   8.95075976   0.2       ]
iteration 57: [ -6.24078966  -0.62134769 -16.09170071   8.92437605   0.2       ]
iteration 58: [ -6.22742887  -0.61907095 -16.20089248   8.89876727   0.2       ]
iteration 59: [ -6.22006739  -0.61866428 -16.30347159   8.89264286   0.2       ]
iteration 60: [ -6.20396006  -0.61776333 -16.38741353   8.88344821   0.2       ]
iteration 61: [ -6.18324045  -0.61495803 -16.52927335   8.88062604   0.2       ]
iteration 62: [ -6.16022661  -0.61408782 -16.64556625   8.86155482   0.2       ]
iteration 63: [ -6.14027478  -0.61074048 -16.78572671   8.83534238   0.2       ]
iteration 64: [ -6.12447047  -0.60989725 -16.87159869   8.83184445   0.2       ]
iteration 65: [ -6.11484164  -0.60926551 -16.93416278   8.82322459   0.2       ]
iteration 66: [ -6.09872291  -0.60856489 -17.03256965   8.77956147   0.2       ]
iteration 67: [ -6.09026968  -0.60782417 -17.07502059   8.78222631   0.2       ]
iteration 68: [ -6.0902309   -0.60649457 -17.14766934   8.77136579   0.2       ]
iteration 69: [ -6.07891256  -0.60623122 -17.22204721   8.74497227   0.2       ]
iteration 70: [ -6.06668955  -0.6054758  -17.28788445   8.72580408   0.2       ]
iteration 71: [ -6.0516676   -0.60439609 -17.3941066    8.71008171   0.2       ]
iteration 72: [ -6.05278725  -0.60414415 -17.48375514   8.71406406   0.2       ]
iteration 73: [ -6.04751439  -0.60385657 -17.56907003   8.7111232    0.2       ]
iteration 74: [ -6.03958895  -0.60485996 -17.61966059   8.69923172   0.2       ]
iteration 75: [ -6.02582731  -0.60352328 -17.73253575   8.70245667   0.2       ]
iteration 76: [ -6.00983406  -0.60189315 -17.80021593   8.70122743   0.2       ]
iteration 77: [ -6.00182107  -0.60047188 -17.91775741   8.68966706   0.2       ]
iteration 78: [ -5.98619597  -0.60012996 -18.00446763   8.67663863   0.2       ]
iteration 79: [ -5.97407176  -0.5994892  -18.08089761   8.65041236   0.2       ]
iteration 80: [ -5.95994828  -0.59956142 -18.13175161   8.62689243   0.2       ]
iteration 81: [ -5.94972103  -0.59865767 -18.13973001   8.6296043    0.2       ]
iteration 82: [ -5.94916436  -0.59873425 -18.17369462   8.62974937   0.2       ]
iteration 83: [ -5.9370025   -0.59782267 -18.22244863   8.62355668   0.2       ]
iteration 84: [ -5.9191695   -0.5992101  -18.27738582   8.61948981   0.2       ]
iteration 85: [ -5.89605286  -0.59900815 -18.3076442    8.59387167   0.2       ]
iteration 86: [ -5.87764358  -0.59773166 -18.46553738   8.56768933   0.2       ]
iteration 87: [ -5.87156323  -0.59785074 -18.53347749   8.54543155   0.2       ]
iteration 88: [ -5.86585381  -0.59804028 -18.6140886    8.52509065   0.2       ]
iteration 89: [ -5.85357003  -0.59835556 -18.65408905   8.51352246   0.2       ]
iteration 90: [ -5.84648294  -0.59842487 -18.71787351   8.5071659    0.2       ]
iteration 91: [ -5.83634059  -0.59849444 -18.75094558   8.49384705   0.2       ]
iteration 92: [ -5.8241296   -0.59813395 -18.82226208   8.47862681   0.2       ]
iteration 93: [ -5.81485519  -0.59604725 -18.91086771   8.45646288   0.2       ]
iteration 94: [ -5.79956216  -0.59463229 -19.02220806   8.4424085    0.2       ]
iteration 95: [ -5.78742425  -0.5937404  -19.11728302   8.43564013   0.2       ]
iteration 96: [ -5.77971366  -0.59275925 -19.15996463   8.44196529   0.2       ]
iteration 97: [ -5.76316373  -0.59138163 -19.20596497   8.42611147   0.2       ]
iteration 98: [ -5.74734395  -0.58972774 -19.21377411   8.42208498   0.2       ]
iteration 99: [ -5.74387214  -0.58913181 -19.27895615   8.40346797   0.2       ]
iteration 100: [ -5.7412468   -0.58903429 -19.3071047    8.38381786   0.2       ]
iteration 101: [ -5.73586061  -0.59017645 -19.33324575   8.37954439   0.2       ]
iteration 102: [ -5.72515834  -0.5898664  -19.3612079    8.37646737   0.2       ]
iteration 103: [ -5.70853366  -0.58828079 -19.47208903   8.34907754   0.2       ]
iteration 104: [ -5.68991813  -0.58723041 -19.5653527    8.33779264   0.2       ]
iteration 105: [ -5.6659932   -0.58734578 -19.65725216   8.31839019   0.2       ]
iteration 106: [ -5.65103477  -0.58645439 -19.7204281    8.30513146   0.2       ]
iteration 107: [ -5.63348879  -0.58577988 -19.77753632   8.28857223   0.2       ]
iteration 108: [ -5.62894794  -0.58460685 -19.80868852   8.28558717   0.2       ]
iteration 109: [ -5.60153351  -0.58254264 -19.8804981    8.25970808   0.2       ]
iteration 110: [ -5.60819692  -0.58199947 -19.913967     8.25787153   0.2       ]
iteration 111: [ -5.60121854  -0.58232072 -19.95878409   8.25373184   0.2       ]
iteration 112: [ -5.59287086  -0.58167906 -20.05814516   8.23348156   0.2       ]
iteration 113: [ -5.57749793  -0.58094543 -20.11624474   8.22180876   0.2       ]
iteration 114: [ -5.5753606   -0.58138777 -20.1794323    8.19901122   0.2       ]
iteration 115: [ -5.56349954  -0.58018405 -20.2251671    8.18389063   0.2       ]
iteration 116: [ -5.55421758  -0.57970368 -20.27576314   8.17848078   0.2       ]
iteration 117: [ -5.55243489  -0.57935253 -20.29073926   8.18050883   0.2       ]
iteration 118: [ -5.54741805  -0.57970591 -20.33214321   8.16444431   0.2       ]
iteration 119: [ -5.53870373  -0.57893806 -20.37942862   8.13714585   0.2       ]
iteration 120: [ -5.5352315   -0.57825299 -20.42054938   8.13906935   0.2       ]
iteration 121: [ -5.53347217  -0.57773927 -20.4098969    8.1317261    0.2       ]
iteration 122: [ -5.52642382  -0.57715318 -20.49035806   8.11491486   0.2       ]
iteration 123: [ -5.49952404  -0.57731832 -20.51385495   8.09409379   0.2       ]
iteration 124: [ -5.49086088  -0.57694287 -20.554222     8.06321881   0.2       ]
iteration 125: [ -5.46919592  -0.57625421 -20.57989374   8.05862834   0.2       ]
iteration 126: [ -5.45516958  -0.57509324 -20.64853077   8.04660921   0.2       ]
iteration 127: [ -5.45262085  -0.5757282  -20.68475061   8.05412325   0.2       ]
iteration 128: [ -5.4441647   -0.57485718 -20.75541429   8.02775379   0.2       ]
iteration 129: [ -5.44188794  -0.57414009 -20.81540211   8.00946617   0.2       ]
iteration 130: [ -5.42478427  -0.57364017 -20.85238822   8.00703629   0.2       ]
iteration 131: [ -5.42212803  -0.57403317 -20.86899975   8.00898469   0.2       ]
iteration 132: [ -5.422955    -0.57355769 -20.91382738   8.01311405   0.2       ]
iteration 133: [ -5.42333592  -0.57460882 -20.98032836   8.01717362   0.2       ]
iteration 134: [ -5.41190093  -0.57350878 -21.02296172   8.00861696   0.2       ]
iteration 135: [ -5.39156445  -0.57273995 -21.06058256   7.98374634   0.2       ]
iteration 136: [ -5.39089023  -0.57297203 -21.07519953   7.97224369   0.2       ]
iteration 137: [ -5.38040136  -0.5721766  -21.1567127    7.94702881   0.2       ]
iteration 138: [ -5.38104647  -0.57146906 -21.22175278   7.94764514   0.2       ]
iteration 139: [ -5.36563411  -0.57090677 -21.24050405   7.96800932   0.2       ]
